Student_Id,Sem,subject code,subject,subject_short,grade,credits
21pa1a6126,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6126,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
21pa1a6126,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
21pa1a6127,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6127,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
21pa1a6127,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
21pa1a6128,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6128,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
21pa1a6128,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
21pa1a6129,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6129,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
21pa1a6129,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
21pa1a6130,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6130,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
21pa1a6130,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
21pa1a6131,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6131,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
21pa1a6131,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
21pa1a6132,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6132,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
21pa1a6132,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
21pa1a6133,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6133,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
21pa1a6133,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
21pa1a6134,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6134,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
21pa1a6134,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
21pa1a6135,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6135,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
21pa1a6135,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
21pa1a6136,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6136,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
21pa1a6136,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
21pa1a6137,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6137,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
21pa1a6137,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
21pa1a6138,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6139,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6139,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
21pa1a6139,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
21pa1a6140,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6140,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
21pa1a6140,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
21pa1a6141,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6141,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
21pa1a6141,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
21pa1a6142,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6142,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
21pa1a6142,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
21pa1a6143,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6143,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
21pa1a6143,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
21pa1a6144,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6144,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
21pa1a6144,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
21pa1a6145,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6145,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
21pa1a6145,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
21pa1a6146,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6146,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
21pa1a6147,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6147,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
21pa1a6147,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
21pa1a6148,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6148,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
21pa1a6148,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
21pa1a6149,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6149,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
21pa1a6149,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
21pa1a6150,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6150,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
21pa1a6150,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
21pa1a6151,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6151,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
21pa1a6151,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
21pa1a6152,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6152,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
21pa1a6152,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
21pa1a6153,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6153,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
21pa1a6153,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
21pa1a6154,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6154,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
21pa1a6154,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
21pa1a6155,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
